Source,Target,Weight
1009382,1009472,8
1009382,1009499,6
1009382,1009504,4
1009382,1009524,4
1009382,1009546,2
1009382,1009562,4
1009382,1009629,2
1009382,1009636,2
1009382,1009664,6
1009382,1009666,2
1009382,1009697,2
1009382,1009707,2
1009382,1009718,8
1009407,1009417,2
1009407,1009471,2
1009407,1009524,4
1009407,1009552,2
1009407,1009562,10
1009407,1009641,4
1009407,1009664,24
1009407,1009697,8
1009407,1009707,4
1009407,1011026,4
1009417,1009425,4
1009417,1009465,4
1009417,1009472,8
1009417,1009499,6
1009417,1009504,8
1009417,1009524,4
1009417,1009546,16
1009417,1009552,2
1009417,1009554,4
1009417,1009562,4
1009417,1009629,16
1009417,1009636,4
1009417,1009641,2
1009417,1009664,4
1009417,1009666,2
1009417,1009697,4
1009417,1009707,2
1009417,1009718,16
1009417,1011026,2
1009421,1009636,2
1009425,1009465,2
1009425,1009471,2
1009425,1009472,10
1009425,1009499,6
1009425,1009504,8
1009425,1009524,2
1009425,1009546,10
1009425,1009554,4
1009425,1009629,8
1009425,1009664,2
1009425,1009718,10
1009465,1009472,4
1009465,1009499,4
1009465,1009504,2
1009465,1009524,2
1009465,1009546,4
1009465,1009554,6
1009465,1009629,4
1009465,1009664,2
1009465,1009718,8
1009471,1009472,2
1009471,1009504,2
1009471,1009546,2
1009471,1009552,4
1009471,1009562,4
1009471,1009629,2
1009471,1009641,2
1009471,1009664,10
1009471,1009685,2
1009471,1009697,2
1009471,1009707,4
1009471,1009718,6
1009471,1011026,2
1009472,1009499,14
1009472,1009504,20
1009472,1009524,4
1009472,1009546,18
1009472,1009554,6
1009472,1009562,2
1009472,1009629,40
1009472,1009636,4
1009472,1009664,6
1009472,1009666,4
1009472,1009697,2
1009472,1009707,2
1009472,1009718,44
1009499,1009504,12
1009499,1009524,4
1009499,1009546,8
1009499,1009554,4
1009499,1009562,6
1009499,1009629,12
1009499,1009636,4
1009499,1009664,4
1009499,1009666,4
1009499,1009697,4
1009499,1009707,2
1009499,1009718,18
1009504,1009524,4
1009504,1009546,18
1009504,1009554,8
1009504,1009562,2
1009504,1009629,22
1009504,1009636,2
1009504,1009664,2
1009504,1009666,2
1009504,1009697,2
1009504,1009718,34
1009524,1009546,4
1009524,1009554,2
1009524,1009562,14
1009524,1009629,10
1009524,1009636,2
1009524,1009641,2
1009524,1009664,12
1009524,1009666,2
1009524,1009697,12
1009524,1009707,4
1009524,1009718,12
1009524,1010338,2
1009524,1010740,2
1009546,1009554,12
1009546,1009562,4
1009546,1009629,36
1009546,1009636,2
1009546,1009664,4
1009546,1009697,4
1009546,1009707,2
1009546,1009718,36
1009552,1009562,4
1009552,1009641,2
1009552,1009664,4
1009552,1009697,2
1009552,1009718,4
1009552,1011026,2
1009554,1009629,10
1009554,1009664,2
1009554,1009718,18
1009562,1009629,6
1009562,1009636,2
1009562,1009641,6
1009562,1009664,18
1009562,1009666,2
1009562,1009697,22
1009562,1009707,10
1009562,1009718,12
1009562,1010338,2
1009562,1010801,2
1009562,1011026,6
1009629,1009636,4
1009629,1009664,6
1009629,1009666,4
1009629,1009697,6
1009629,1009707,4
1009629,1009718,60
1009636,1009664,2
1009636,1009666,4
1009636,1009697,2
1009636,1009707,2
1009636,1009718,6
1009641,1009664,4
1009641,1009697,4
1009641,1009707,2
1009641,1011026,4
1009664,1009666,2
1009664,1009697,18
1009664,1009707,16
1009664,1009718,20
1009664,1010338,4
1009664,1010740,2
1009664,1011026,6
1009664,1017577,2
1009666,1009697,2
1009666,1009707,2
1009666,1009718,4
1009697,1009707,6
1009697,1009718,14
1009697,1010338,6
1009697,1010740,2
1009697,1011026,6
1009707,1009718,4
1009707,1011026,2
1009718,1010338,8
1009718,1010740,2
1009718,1017577,2
1010338,1010740,2
1010338,1017577,2
